1714081572, evm, mon, erc20, 11, solc 0.8.1, --instance-count 1 --call-count 1000
1714081572, ink-wasm, v1.0.0, erc20, 10, ink! 4.3.0, --instance-count 1 --call-count 1000
1714081614, sol-wasm, v1.0.0, erc20, 8, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714082760, evm, mon, erc20, 23, solc 0.8.1, --instance-count 1 --call-count 1000
1714082784, ink-wasm, v1.0.0, erc20, 9, ink! 4.3.0, --instance-count 1 --call-count 1000
1714082796, sol-wasm, v1.0.0, erc20, 8, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714094814, evm, mon, erc20, 11, solc 0.8.1, --instance-count 1 --call-count 1000
1714094856, ink-wasm, v1.0.0, erc20, 10, ink! 4.3.0, --instance-count 1 --call-count 1000
1714094850, sol-wasm, v1.0.0, erc20, 8, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714119324, evm, mon, erc20, 11, solc 0.8.1, --instance-count 1 --call-count 1000
1714119342, ink-wasm, v1.0.0, erc20, 10, ink! 4.3.0, --instance-count 1 --call-count 1000
1714119366, sol-wasm, v1.0.0, erc20, 8, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714120266, evm, mon, erc20, 15, solc 0.8.1, --instance-count 1 --call-count 1000
1714120302, ink-wasm, v1.0.0, erc20, 10, ink! 4.3.0, --instance-count 1 --call-count 1000
1714120320, sol-wasm, v1.0.0, erc20, 8, Solidity 0.3.2, --instance-count 1 --call-count 1000
