1714082731, evm, mon, flipper, 14, solc 0.8.1, --instance-count 1 --call-count 1000
1714082730, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 1000
1714082718, sol-wasm, v1.0.0, flipper, 23, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714094803, evm, mon, flipper, 14, solc 0.8.1, --instance-count 1 --call-count 1000
1714094802, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 1000
1714094820, sol-wasm, v1.0.0, flipper, 22, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714119318, evm, mon, flipper, 27, solc 0.8.1, --instance-count 1 --call-count 1000
1714119282, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 1000
1714119288, sol-wasm, v1.0.0, flipper, 22, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714120261, evm, mon, flipper, 14, solc 0.8.1, --instance-count 1 --call-count 1000
1714120236, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 1000
1714120260, sol-wasm, v1.0.0, flipper, 22, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714125067, evm, mon, flipper, 18, solc 0.8.1, --instance-count 1 --call-count 1000
1714125054, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 1000
1714125090, sol-wasm, v1.0.0, flipper, 21, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714129531, evm, mon, flipper, 14, solc 0.8.1, --instance-count 1 --call-count 2000
1714129506, ink-wasm, v1.0.0, flipper, 23, ink! 4.3.0, --instance-count 1 --call-count 2000
1714129500, sol-wasm, v1.0.0, flipper, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
