1714125084, evm, mon, storage-read, 13, solc 0.8.1, --instance-count 1 --call-count 1000
1714125072, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 1000
1714125084, sol-wasm, v1.0.0, storage-read, 22, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714129542, evm, mon, storage-read, 11, solc 0.8.1, --instance-count 1 --call-count 2000
1714129518, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714129506, sol-wasm, v1.0.0, storage-read, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714181190, evm, mon, storage-read, 15, solc 0.8.1, --instance-count 1 --call-count 2000
1714181202, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714181178, sol-wasm, v1.0.0, storage-read, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714254852, evm, v0.34.1, storage-read, 13, solc 0.8.1, --instance-count 1 --call-count 2000
1714254840, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714254810, sol-wasm, v1.0.0, storage-read, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714271904, evm, v0.34.1, storage-read, 11, solc 0.8.1, --instance-count 1 --call-count 2000
1714271826, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714271760, sol-wasm, v1.0.0, storage-read, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
