1714125300, evm, mon, triangle-number, 2, solc 0.8.1, --instance-count 1 --call-count 1000
1714125078, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 1000
1714125078, sol-wasm, v1.0.0, triangle-number, 25, Solidity 0.3.2, --instance-count 1 --call-count 1000
1714130058, evm, mon, triangle-number, 2, solc 0.8.1, --instance-count 1 --call-count 2000
1714129488, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714129494, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714181646, evm, mon, triangle-number, 3, solc 0.8.1, --instance-count 1 --call-count 2000
1714181118, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714181172, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714255332, evm, v0.34.1, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714254792, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714254810, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714272228, evm, v0.34.1, triangle-number, 3, solc 0.8.1, --instance-count 1 --call-count 2000
1714271760, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714271796, sol-wasm, v1.0.0, triangle-number, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714358424, evm, v0.34.1, triangle-number, 3, solc 0.8.1, --instance-count 1 --call-count 2000
1714357926, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714357950, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
