1714425588, evm, moon, storage-write, 20, solc 0.8.1, --instance-count 1 --call-count 2000
1714425690, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714425582, sol-wasm, polkadot-v1.7.0, storage-write, 12, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714426866, evm, moon, storage-write, 21, solc 0.8.1, --instance-count 1 --call-count 2000
1714427004, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714426986, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714428402, evm, moon, storage-write, 23, solc 0.8.1, --instance-count 1 --call-count 2000
1714428510, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714428462, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714440498, evm, moon, storage-write, 19, solc 0.8.1, --instance-count 1 --call-count 2000
1714440582, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714440510, sol-wasm, polkadot-v1.7.0, storage-write, 12, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714527228, evm, moon, storage-write, 22, solc 0.8.1, --instance-count 1 --call-count 2000
1714527324, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714527288, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714613257, evm, moon, storage-write, 21, solc 0.8.1, --instance-count 1 --call-count 2000
1714613382, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714613370, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714699896, evm, moon, storage-write, 23, solc 0.8.1, --instance-count 1 --call-count 2000
1714699992, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714699944, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714786062, evm, moon, storage-write, 21, solc 0.8.1, --instance-count 1 --call-count 2000
1714786152, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714786164, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714872822, evm, moon, storage-write, 21, solc 0.8.1, --instance-count 1 --call-count 2000
1714872948, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714872906, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714959012, evm, moon, storage-write, 22, solc 0.8.1, --instance-count 1 --call-count 2000
1714959108, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714959096, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715045424, evm, moon, storage-write, 23, solc 0.8.1, --instance-count 1 --call-count 2000
1715045496, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1715045484, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715130942, evm, moon, storage-write, 23, solc 0.8.1, --instance-count 1 --call-count 2000
1715131080, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1715131038, sol-wasm, polkadot-v1.7.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715218170, evm, moon, storage-write, 22, solc 0.8.1, --instance-count 1 --call-count 2000
1715218254, ink-wasm, polkadot-v1.7.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1715218224, sol-wasm, polkadot-v1.7.0, storage-write, 9, Solidity 0.3.2, --instance-count 1 --call-count 2000
