1714426068, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714425486, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714425510, sol-wasm, polkadot-v1.7.0, triangle-number, 23, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714427376, evm, moon, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1714426806, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714426818, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714428798, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714428312, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714428312, sol-wasm, polkadot-v1.7.0, triangle-number, 23, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714440960, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714440384, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714440396, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714527684, evm, moon, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1714527120, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714527102, sol-wasm, polkadot-v1.7.0, triangle-number, 33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714613718, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714613190, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714613214, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714700286, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714699776, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714699806, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714786530, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714785966, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714785996, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714873320, evm, moon, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1714872714, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714872738, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714959438, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714958916, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1714958928, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715045862, evm, moon, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1715045316, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1715045316, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715131434, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1715130876, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1715130900, sol-wasm, polkadot-v1.7.0, triangle-number, 24, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715218614, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1715218056, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1715218092, sol-wasm, polkadot-v1.7.0, triangle-number, 23, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715305062, evm, moon, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1715304528, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1715304552, sol-wasm, polkadot-v1.7.0, triangle-number, 23, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715391408, evm, moon, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1715390874, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
1715390874, sol-wasm, polkadot-v1.7.0, triangle-number, 33, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715478270, evm, moon, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1715477658, ink-wasm, polkadot-v1.7.0, triangle-number, 30, ink! 4.3.0, --instance-count 1 --call-count 2000
